1116510303	4	2	32	500
1116510306	5	1	32	500
1116510310	4	2	28	195
1116510313	4	1	25	195
1116510316	5	1	25	225
1116510319	4	1	24	500
1116510501	4	1	24	255
1116510504	4	1	22	225
1116510507	3	1	22	225
1116510516	4	0	24	225
1116510519	4	1	24	195
1116510522	3	1	10	165
1116510528	3	1	50	255
1116510601	4	1	32	225
1116510604	1	1	18	195
1116510607	3	1	25	360
1116510610	3	1	32	195
1116510613	1	1	18	225
1116510616	3	1	25	295
1116511003	4	1	32	255
1116511006	4	1	32	295
1116511015	3	1	43	195
1116511018	5	2	43	225
1116511403	5	1	25	195
1116511407	4	1	32	105
1116511410	6	1	32	360
1116511601	4	1	35	500
1116511604	3	1	35	165
1116511607	5	1	35	225
1116511610	4	1	35	500
1116511613	4	1	26	360
1116511701	5	1	35	195
1116511704	2	1	32	255
1116511707	4	1	35	295
1116511710	3	1	24	135
1116511713	4	1	25	195
1116511716	4	1	25	500
1116511719	4	1	25	135
1116511901	3	1	32	195
1116511905	4	1	33	360
1116511908	2	1	34	195
1116512202	4	1	24	295
1116512205	5	1	32	165
1116512208	4	1	39	295
1116512211	3	2	32	360
1116512214	4	1	39	165
1116512217	4	2	25	135
1116512220	4	1	32	295
1116512603	3	1	24	255
1116512606	2	0	25	195
1116512609	4	1	14	135
1116512612	5	1	18	255
1116512616	3	1	30	135
1116512803	4	1	32	500
1116512806	4	0	32	165
1116512809	4	1	32	360
1116512812	5	1	26	195
1116512815	4	1	32	255
1116512818	4	1	32	165
1116512821	1	0	32	195
1116512824	3	1	26	195
1116512827	4	1	32	195
1116512830	4	1	32	195
1116519003	4	0	25	135
1116519006	3	1	18	195
1116519009	3	1	33	500
1116520106	4	1	35	195
1116520109	4	1	46	165
1116520112	4	1	26	295
1116520115	6	1	12	135
1116520118	4	1	16	105
1116520121	4	1	44	105
1116520124	2	1	20	105
1116520127	3	1	12	135
1116520130	3	1	10	105
1116520401	5	1	27	105
1116520404	4	1	26	165
1116520407	3	1	15	195
1116520410	4	1	25	135
1116520413	4	1	23	225
1116520416	4	1	35	225
1116520419	4	1	24	165
1116520422	3	2	40	295
1116520425	4	1	26	255
1116520601	4	1	33	255
1116520604	4	2	33	360
1116520607	4	1	33	225
1116520610	4	1	33	295
1116520613	4	1	33	500
1116520616	4	1	33	165
1116520619	4	1	45	165
1116520622	6	1	33	255
1116520625	3	1	33	360
1116521105	8	1	10	25
1116521402	5	1	30	255
1116521405	5	0	26	105
1116521411	4	1	24	295
1116521414	4	0	18	295
1116529003	4	1	35	105
1116529005	4	1	13	295
1116529006	5	0	33	165
1116529008	4	1	30	165
1116529011	3	0	15	105
1116529014	5	1	18	255
1116530103	3	0	25	165
1116530106	5	1	60	195
1116530112	4	0	20	360
1116530115	4	0	15	135
1116530403	5	0	40	500
1116530406	4	0	15	195
1116530409	4	1	25	295
1116530415	4	2	30	165
1116530502	6	1	79	195
1116530505	3	1	25	135
1116530508	4	0	15	195
1116530511	4	2	18	165
1116530514	3	0	20	135
1116530517	3	1	24	225
1116530520	4	1	36	500
1116530523	2	0	6	25
1116530526	4	1	60	295
1116530529	5	1	34	195
1116531405	4	1	12	105
1116531424	4	1	15	225
1116531702	4	1	25	255
1116531705	5	2	46	165
1116531714	4	0	28	135
1116531717	3	1	42	105
1116531720	4	1	20	225
1116539003	6	0	40	225
1116539006	4	1	25	165
1116540106	4	1	12	255
1116540109	4	1	13	105
1116540501	4	1	14	225
1116540504	4	1	14	135
1116540513	4	0	13	135
1116540516	4	0	14	135
1116540519	4	1	15	135
1116540602	4	1	32	225
1116540605	4	1	17	295
1116540608	4	1	17	225
1116540611	5	1	17	225
1116540614	4	0	17	295
1116540620	5	1	17	135
1116540623	3	1	32	255
1116540626	4	1	32	360
1116541407	3	0	11	25
1116541410	5	1	7	165
1116541816	3	0	11	25
1116541819	3	0	11	105
1116541822	5	1	11	25
1116541901	5	1	32	195
1116541904	4	1	24	360
1116541907	4	2	24	360
1116541910	4	1	24	195
1116541913	3	0	24	225
1116541916	4	1	24	255
1116541919	4	1	24	295
1116541922	4	1	24	165
1116541925	5	1	24	295
1116541928	5	1	24	195
1116542002	3	1	11	165
1116542005	4	1	13	500
1116542008	4	1	24	255
1116542011	4	0	24	225
1116542014	4	0	18	195
1116542017	5	1	24	105
1116542020	5	1	24	165
1116542023	4	0	24	225
1116542102	4	1	24	135
1116542106	4	0	17	105
1116542109	2	1	25	500
1116542112	4	1	24	500
1116542115	4	1	17	165
1116542118	3	2	24	165
1116542121	3	1	18	165
1116542124	3	0	18	195
1116542302	4	1	32	195
1116542305	4	1	24	295
1116542308	4	1	32	255
1116542311	3	1	32	360
1116542314	4	1	32	360
1116542317	4	1	38	500
1116542320	3	1	32	360
1116542601	4	1	12	225
1116542604	3	0	12	105
1116542607	3	1	12	295
1116542610	3	1	17	195
1116542616	4	1	24	500
1116542622	5	2	12	295
1116542625	3	0	14	105
1116542901	4	1	17	225
1116542907	4	1	13	25
1116542910	4	1	16	135
1116542913	4	1	12	165
1116542916	4	1	14	195
1116542919	4	1	14	105
1116542922	4	1	13	195
1116542925	4	0	17	165
1116543103	5	1	17	195
1116543106	3	1	17	165
1116543109	2	1	17	195
1116543112	4	1	17	255
1116543115	4	1	17	165
1116550103	3	2	35	255
